txn_id,timestamp,sender_bank,sender_account,receiver_bank,upi_app,amount,status,merchant,city,category
UPI000001,2026-01-05 15:57:00,PNB,ACC81482,SBI,AmazonPay,1260.29,REVERSED,Mandal Group,Etawah,Food
UPI000002,2026-01-10 01:11:00,PNB,ACC95181,PNB,AmazonPay,-10939.71,REVERSED,Date-Bhakta,Rewa,Transport
UPI000003,2026-01-08 06:23:00,PNB,ACC65392,ICICI,Paytm,13916.75,FAILED,Misra Ltd,Kottayam,Transport
UPI000004,2026-01-16 15:41:00,Kotak,ACC44671,BOB,PhonePe,16836.36,REVERSED,Date Ltd,Kishanganj,Transfer
UPI000005,2026-01-29 14:38:00,Kotak,ACC57400,Kotak,GPay,46115.55,SUCCESS,Mammen Ltd,Chennai,Food
UPI000006,2026-01-05 14:19:00,Axis,ACC46434,Axis,Paytm,38655.69,FAILED,Warrior Inc,Srikakulam,Shopping
UPI000007,2026-01-04 05:59:00,Kotak,ACC93227,HDFC,AmazonPay,33512.06,FAILED,Ahuja and Sons,Singrauli,Transport
UPI000008,2026-01-10 23:52:00,PNB,ACC52504,BOB,PhonePe,13504.69,FAILED,Dhar-Rastogi,Ghaziabad,Food
UPI000009,2026-01-26 19:30:00,PNB,ACC51245,HDFC,BHIM,20064.23,REVERSED,Jayaraman-Iyer,Arrah,Bills
UPI000010,2026-01-27 14:31:00,Axis,ACC86484,Axis,Paytm,6990.12,FAILED,Varma-Savant,Jorhat,Transport
UPI000011,2026-01-05 23:45:00,HDFC,ACC92240,HDFC,BHIM,,SUCCESS,Dave-Dugar,Shivpuri,Bills
UPI000012,2026-01-01 12:32:00,PNB,ACC25014,PNB,AmazonPay,49806.11,PENDING,"Bahl, Raju and Goswami",Kalyan-Dombivli,Shopping
UPI000013,2026-01-12 23:41:00,Kotak,ACC33416,Kotak,PhonePe,21743.91,PENDING,Bhat PLC,Tiruppur,Transfer
UPI000014,2026-01-25 03:17:00,SBI,ACC88504,ICICI,BHIM,7650.44,SUCCESS,"Pant, Subramaniam and Warrior",Ambattur,Food
UPI000015,2026-01-03 15:16:00,HDFC,ACC84364,SBI,PhonePe,43937.31,REVERSED,Pal-Mody,Dewas,Food
UPI000016,2026-01-26 00:31:00,HDFC,ACC44741,Kotak,AmazonPay,26639.98,REVERSED,Sidhu LLC,Jalgaon,Transport
UPI000017,2026-01-19 03:48:00,PNB,ACC95180,ICICI,BHIM,37765.71,REVERSED,Prabhu-Sidhu,Rewa,Food
UPI000018,2026-01-26 05:01:00,HDFC,ACC87128,HDFC,PhonePe,,SUCCESS,"Ramanathan, Kunda and Nigam",Mirzapur,Food
UPI000019,2026-01-11 19:57:00,ICICI,ACC97684,Axis,GPay,45271.95,FAILED,Ramachandran and Sons,Berhampur,Transfer
UPI000020,2026-01-05 07:01:00,SBI,ACC96374,Axis,Paytm,12157.43,REVERSED,Gill-Behl,New Delhi,Bills
UPI000021,2026-01-05 11:29:00,SBI,ACC62772,PNB,Paytm,36456.5,SUCCESS,Tak PLC,Hubli–Dharwad,Transport
UPI000022,2026-01-22 01:18:00,HDFC,ACC19880,Axis,AmazonPay,26818.92,SUCCESS,Iyer PLC,Mumbai,Food
UPI000023,2026-01-05 05:52:00,BOB,ACC40982,HDFC,BHIM,,REVERSED,"Gokhale, Saxena and Sachdeva",Pondicherry,Bills
UPI000024,2026-01-18 18:26:00,ICICI,ACC69638,ICICI,BHIM,20058.0,REVERSED,Palan-Dua,Nagpur,Transport
UPI000025,2026-01-03 18:34:00,PNB,ACC51104,SBI,PhonePe,10892.87,REVERSED,"Kulkarni, Sidhu and Krishnamurthy",Hazaribagh,Transfer
UPI000026,2026-01-09 10:58:00,SBI,ACC87992,SBI,GPay,26561.0,REVERSED,Varughese-Randhawa,Yamunanagar,Food
UPI000027,2026-01-04 17:32:00,Axis,ACC96163,Kotak,AmazonPay,28488.07,PENDING,Ganesh PLC,Alappuzha,Shopping
